Timestamp	Upload Thumbnail Image	Upload Bigger Image	Artwork Title	Artwork Description	Artwork Date	Short Name for File/Folder  (No spaces or special characters, except for hyphens)	Era	Youtube Link
2/1/2025 13:02:56	https://drive.google.com/open?id=1ZUF5Jd6jx7XNKAMmjV6-_de3pJZwPwr0	https://drive.google.com/open?id=1IfCXH-sx8kj5ZeE_8ddCb3EHvyxkI1uH	Legacy	Acrylic on canvas, 40 x 50 in	1/1/2016	legacy	DrawingPainting	
2/1/2025 13:10:08	https://drive.google.com/open?id=1aKJv0HK-809XLFu_L_rPUSrH6Na4pD1C	https://drive.google.com/open?id=1jN_Dc-9nVpbbs7gnHWgkF5-qJpP7m_TY	Moon Garden Series	Acrylic and graphite on canvas, 20 x 16 in	4/25/2024	moon-garden-coll	DrawingPainting	
2/1/2025 13:13:59	https://drive.google.com/open?id=1fytTGZ7UeCUqqG2Eg_wqm8rye5rPeGvQ	https://drive.google.com/open?id=1vCo1bf_Ot7HgvUvrZJoAZpGS_RmmlXQV	Floating Flowers	Acrylic on canvas, 12 x 12 in	10/30/2017	float-flowers	DrawingPainting	
2/1/2025 13:20:39	https://drive.google.com/open?id=18qvGuNQYmxK1qchgPfqi6dE93P65OgDT	https://drive.google.com/open?id=1HtizTr-KZ8GusUT0vUiYDfNNwXoo6Lhz	Pods and Twigs	Colored pencil and graphite on paper, 5 x 7 in	1/27/2025	pods-twigs	DrawingPainting	
2/1/2025 13:23:56	https://drive.google.com/open?id=1cYkCECUlmfCq9gC1DDtUjWfDImTdzfua	https://drive.google.com/open?id=1E0WT4jN-_WkAFTivwSu2aV3DLRd9VlDx	Tall Daisies	Colored pencil and graphite on paper, 5 x 7 in	1/26/2025	tall-daisies	DrawingPainting	
2/1/2025 13:28:59	https://drive.google.com/open?id=1dPGoXOfevIkDNvooEo7jwI_LUnMOGz-J	https://drive.google.com/open?id=142LQcpvlidr3nzG2q-RbkFcyDba10ezN	Six	Colored pencil and graphite on paper, 5 x 7 in	1/17/2025	six-palms	DrawingPainting	
2/1/2025 13:57:08	https://drive.google.com/open?id=1WcRecwTMd2034p2sfUXB2Qje8vp6zfJk	https://drive.google.com/open?id=1G_xp0WOwXYM0vIlDXhMwLe_6cR9pDqfX	Birds and Cloud Mobile	Acrylic on foam board with fishing line	5/1/2019	birds-cloud-mobile	Cardboard	
2/1/2025 14:05:52	https://drive.google.com/open?id=1d8JstxbZR6NFjDhTPa1JzXBNnt-t2I1-	https://drive.google.com/open?id=1rFlAHBmZx-6KYBt-GrzDtCN0bOTuPP3T	The Light Was Us	Acrylic on corrugated cardboard 13.25 x 12.75 x 2.5 inch box, filled with nine acrylic on corrugated cardboard pieces, various dimensions	1/1/2021	light-was-us	Cardboard	
2/1/2025 14:15:39	https://drive.google.com/open?id=1s6YWBnydFSjRqnqYWhv2g3De3UYD8r2s	https://drive.google.com/open?id=1Tfk3uFu-Q3v6AGywKO4uBx1FTfJm1iS5	Green Casual Table	Acrylic on corrugated cardboard, with three tarn balls (yarn balls made from old t-shirts)  18 X 18 x 27.5 in. (46 x 46 x 70 cm)	2/25/2021	green-table	Cardboard	
2/1/2025 14:27:06	https://drive.google.com/open?id=1p7kLeLJQVja00hrLCi5_ne4pfbmVx1jP	https://drive.google.com/open?id=1ClkV1PKnxOlTJeTjkT9dvjsENyK3s_bG	Twins	Acrylic on corrugated cardboard, diptych  2 pieces, 24 x 7.75 x 2 in (62 x 20 x 5 cm) each	2/11/2021	twins	Cardboard	
2/1/2025 14:30:15	https://drive.google.com/open?id=1KUtfrosABtaA_4-XHjlrGNfB0LtJWzTq	https://drive.google.com/open?id=13j9-CSVD7LCI-xoWx0KCowZ0OSyjUrl8	Balance	Acrylic on corrugated cardboard  24 x 27.5 in. (61 x 70  cm)	5/8/2021	balance	Cardboard	
2/1/2025 15:04:00	https://drive.google.com/open?id=1EmatGM4XRqczvSZLnjGnIa11Nnpf7cNx	https://drive.google.com/open?id=1wL2fy4Ebdi5ImnJbACFC6uaFERbSsLlc	Crossing Forms	Acrylic on scroll-sawn, hand-assembled plywood 24 x 24 x 24 in. (61 x 61 x 61 cm)	5/20/2024	hands-feet	Wood	
2/1/2025 15:25:44	https://drive.google.com/open?id=1dJ6VgnyfvlHIcthZDsZXYJHDtT3YKHk2	https://drive.google.com/open?id=1fyVQgclSxaSJKe_CO8MobgvPIctzuyw_	Centered, Awkward, Repaired, Mended	Acrylic on wood (some with metal screws) 4 pieces, each approx. 14 x 6 x 2 in. (5.5 x 2.4 x 8 cm)	12/9/2023	b-w-striped-series	Wood	
2/1/2025 15:33:56	https://drive.google.com/open?id=1kzur4sL2M9htAbdKzJVa3CUpzoV54ENE	https://drive.google.com/open?id=1iT7E3AmWAETl8pmrx2tR97Gyo0r49ry4	Flight & Empty Center	Flight: Acrylic and graphite on wood, 25 x 6.5 x 3 in. Empty Center: Acrylic and graphite on wood, 25 x 11.5 x 2.5 in.	4/15/2024	flight-empty	Wood	
2/1/2025 15:38:53	https://drive.google.com/open?id=1COngUGMrdg02irm9sYPU2_sGXi55BKB_	https://drive.google.com/open?id=1gHIyUUEhAT73nf--wurASw5Nz2r1tHos	Flower Columns	Acrylic and graphite on wood 3 pieces, ea. 20.125 x 5 x 3.5 inches	4/14/2024	flower-columns	Wood	
2/1/2025 20:13:54	https://drive.google.com/open?id=1cU0xpuYFIESe8RDY050Y5YXK3jmCmN2v	https://drive.google.com/open?id=1IqXTo-YkFaJmmpAwwHJAILIbzjcBlJ8g	Woman (Propeller)	Acrylic on scroll-sawn plywood, hand assembled approx. 18 x 10 x 10 in. Click on link for: A Series of Short Stop Motion Videos - April 2023	4/7/2023	woman	Wood	https://www.youtube.com/watch?v=6WZlGJCS7Mg
